RegionName,City,Metro,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,growth5yr
75232,Dallas,Dallas-Fort Worth-Arlington,80585.0,82317.0,83718.0,85305.0,86562.0,87511.0,88093.0,89062.0,90516.0,92120.0,93605.0,94698.0,95570.0,97032.0,99644.0,102850.0,105335.0,107376.0,109371.0,111871.0,114197.0,116374.0,118687.0,121300.0,123655.0,125249.0,125988.0,126616.0,127896.0,129877.0,132288.0,134245.0,135914.0,137271.0,138877,140679,142944,145973,149113,152125,155194,157331,160169,162425,165302,167120,168855,170230,171443,172109,172924,173650,174133,175061,175096,175629,175744,176853,177710,178540,1.2155487994043557
75208,Dallas,Dallas-Fort Worth-Arlington,147007.0,150366.0,153899.0,156792.0,158640.0,160409.0,162980.0,166857.0,170513.0,174389.0,177751.0,181766.0,186713.0,192428.0,198913.0,204889.0,209077.0,213362.0,217766.0,222559.0,226445.0,230555.0,235229.0,238819.0,240148.0,241383.0,242938.0,246941.0,249518.0,252782.0,254712.0,258240.0,261740.0,263662.0,266457,270477,277300,282473,286302,288473,292358,291778,291215,289222,291264,293442,295136,296337,297245,298541,300060,301616,303055,307351,312162,316847,318606,321020,323218,325442,1.2137857380941044
78208,San Antonio,San Antonio-New Braunfels,79757.0,80332.0,80822.0,82013.0,83745.0,85468.0,87052.0,88090.0,89142.0,90450.0,91634.0,92719.0,94064.0,95474.0,97043.0,98390.0,99635.0,100493.0,101714.0,103540.0,105808.0,108091.0,109937.0,111981.0,114027.0,116261.0,118638.0,121036.0,124136.0,127717.0,130691.0,132812.0,133878.0,134103.0,134485,135424,137078,139078,141645,144372,146736,148731,151674,154942,158275,160799,163113,164241,165473,166184,166526,166799,167070,167689,167885,168250,169095,171091,173311,176122,1.208232506237697
48342,Pontiac,Detroit-Warren-Dearborn,32382.0,32811.0,33344.0,33532.0,34348.0,34878.0,35187.0,35616.0,36448.0,37865.0,38940.0,39476.0,39563.0,39557.0,39672.0,40123.0,40423.0,40944.0,41760.0,42221.0,42573.0,42507.0,42728.0,43360.0,43491.0,43803.0,43933.0,44650.0,45977.0,47179.0,48186.0,49392.0,50417.0,51389.0,51522,51876,52762,53984,54879,55744,56170,56664,56607,56635,57041,57826,58971,59912,60866,61616,62673,63330,64004,64690,65945,67151,68186,69048,70099,71124,1.1964054104131925
75203,Dallas,Dallas-Fort Worth-Arlington,65039.0,65574.0,65898.0,65974.0,66261.0,67034.0,67731.0,68594.0,68925.0,70271.0,71617.0,73206.0,74216.0,75762.0,77551.0,79538.0,81162.0,82732.0,84136.0,85304.0,86242.0,86070.0,86267.0,86715.0,87496.0,88101.0,88276.0,88503.0,89042.0,89720.0,91710.0,94264.0,97290.0,99789.0,102049,104144,106844,109555,112715,116005,119215,121414,123182,124388,126083,127242,128667,129944,131157,132010,132798,133441,134089,135531,136508,137643,138156,139774,141231,142834,1.1961284767600977
30354,Atlanta,Atlanta-Sandy Springs-Roswell,73178.0,74457.0,75264.0,76247.0,77194.0,79374.0,80812.0,81935.0,81555.0,81753.0,81671.0,82124.0,82695.0,83171.0,84025.0,84269.0,84756.0,84315.0,85044.0,85952.0,87828.0,89286.0,91166.0,92412.0,93352.0,93451.0,93574.0,94078.0,94953.0,96282.0,97821.0,100060.0,102385.0,104524.0,106018,108035,110697,114180,117776,121371,124813,128017,130905,133286,135151,136589,137713,139957,142108,144763,146331,147883,149280,150827,152141,153322,154593,156421,158758,159847,1.1843586870370877
48030,Hazel Park,Detroit-Warren-Dearborn,55006.0,56026.0,56512.0,56605.0,56932.0,57398.0,58107.0,58919.0,59595.0,60364.0,61105.0,61575.0,61974.0,62277.0,63042.0,64284.0,65181.0,65936.0,66391.0,66977.0,67598.0,68467.0,69516.0,71082.0,72643.0,74114.0,75536.0,76647.0,78437.0,80244.0,82130.0,83712.0,85421.0,87247.0,88843,89998,91239,93055,94889,96934,98435,100018,101177,102360,103882,105184,106747,107605,108618,109070,109760,110385,111184,112007,113280,114734,115863,117048,118151,120036,1.182234665309239
48238,Detroit,Detroit-Warren-Dearborn,12081.0,12029.0,12128.0,12177.0,12070.0,11904.0,11939.0,12137.0,12380.0,12649.0,12964.0,13121.0,13187.0,13236.0,13543.0,13904.0,14397.0,14947.0,15573.0,16131.0,16471.0,16501.0,16578.0,16993.0,17435.0,17896.0,18015.0,18194.0,18337.0,18348.0,18145.0,17818.0,17833.0,18256.0,18595,18703,18923,19258,19723,19984,20383,20861,21306,21679,22171,22894,23902,24644,25164,25399,25806,26332,26629,26865,27201,27647,27733,27343,26673,26228,1.171012333416108
75180,Balch Springs,Dallas-Fort Worth-Arlington,74781.0,75386.0,75969.0,77069.0,77908.0,78966.0,79661.0,81044.0,82437.0,84484.0,86536.0,88679.0,90514.0,92488.0,94573.0,96775.0,99010.0,101474.0,103849.0,105971.0,107950.0,110092.0,112457.0,114839.0,116826.0,118538.0,120057.0,121375.0,122767.0,124160.0,125567.0,126996.0,128668.0,130318.0,131806,133283,135055,137371,139487,141507,143459,144627,146199,147226,149281,150667,152247,153142,154048,154610,155437,156303,157088,158333,159191,160419,160611,161181,161531,162341,1.1708856527727631
90004,Los Angeles,Los Angeles-Long Beach-Anaheim,738130.0,747814.0,758704.0,770994.0,781514.0,795647.0,808417.0,822164.0,837382.0,850581.0,864323.0,875086.0,891945.0,905679.0,920149.0,935544.0,957381.0,974924.0,990094.0,999167.0,1009601.0,1020813.0,1029031.0,1038988.0,1048757.0,1061249.0,1074083.0,1085272.0,1096761.0,1111580.0,1131350.0,1158166.0,1180815.0,1199729.0,1217676,1241950,1265090,1286021,1303037,1322574,1341967,1357243,1370555,1378682,1389210,1399904,1411031,1419772,1428492,1440381,1453774,1466195,1477259,1491262,1505165,1521283,1538228,1557901,1579513,1599806,1.1673770203080758
